respondent_id,persona,age_group,gender,city_tier,occupation,income_band,monthly_income_inr,purchase_frequency,preferred_categories,purchase_motivation,brand_affinity,brand_tier_score,resale_experience,preferred_channel,resale_pain_points,counterfeit_concern,auth_premium_willingness,escrow_preference,style_subcategories,watch_styles,color_material_pref,occasion_usage,avg_spend_band,avg_spend_inr,annual_budget_band,annual_budget_inr,resale_new_pref_score,desired_features,trust_drivers,adoption_likelihood,adoption_score,adoption_binary,discovery_channel,research_days,social_influence_source,peer_spend_band,price_switch_threshold_pct,incumbent_platform_trust,festive_purchase,trust_composite_score,spend_to_income_ratio,category_diversity_score,feature_demand_score,research_days_flagged,high_spend_ratio_flag
LL_0001,Professional Reseller,45–54,Male,Tier 3 / Small Town,Freelancer/Consultant,"₹50,000–₹1,00,000",75000,Once a month,"Handbags & Purses, Fine Jewelry & Accessories",Personal reward / self-indulgence,"Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – both bought and sold,Vestiaire Collective / Tradesy (international),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",3,4,5,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Hype / Limited Edition (Yeezy, Off-White)","Sports/dive watches (Rolex Sub, AP Royal Oak), Chronographs (Daytona, Speedmaster)","Neutral tones (black, beige, tan), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Gold hardware preference, Silver hardware preference","Daily / everyday use, Long-term investment / asset to hold","₹5,00,001–₹15,00,000",1000000,"₹3,00,001–₹10,00,000",650000,7,Dedicated customer support SLA,"Verified seller ratings and reviews, Media coverage and social proof, Transparent pricing benchmarks",Very Likely,5,1,Instagram / Reels,3,Self-driven / independent,"₹50,000–₹1,00,000",20,2,No,4.0,13.33,2,1,0,1
LL_0002,Gen Z / Hype Buyer,25–34,Male,Tier 1 (Metro),Homemaker/Other,"₹50,000–₹1,00,000",75000,Multiple times a month,"Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Apparel & Ready-to-Wear","Status and social signaling, Sustainability (pre-owned is eco-friendly)","Accessible luxury (Longchamp, Kate Spade, Tumi)",2,"No, but open to it",Instagram / WhatsApp (informal),"Risk of counterfeit / fake items, No post-sale recourse or return policy",4,3,4,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White)",Not applicable,"Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Monogram / logo-heavy designs, Gold hardware preference","Daily / everyday use, Long-term investment / asset to hold","Below ₹10,000",7500,"₹25,000–₹1,00,000",62500,8,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA",Media coverage and social proof,Likely,4,1,Instagram / Reels,7,Family,"₹50,000–₹1,00,000",23,3,Yes,3.67,0.1,4,7,0,0
LL_0003,Cautious Explorer,25–34,Male,Tier 1 (Metro),Salaried – Private,"₹50,000–₹1,00,000",75000,2–3 times a year,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Gifting to others, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,"No, but open to it",Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Unreliable logistics and delivery, No post-sale recourse or return policy",5,3,3,"Structured handbags (Birkin, Classic Flap), Sneakers – Hype / Limited Edition (Yeezy, Off-White)",Not applicable,"Neutral tones (black, beige, tan), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference","Professional / office settings, Long-term investment / asset to hold","₹10,000–₹50,000",30000,"₹1,00,001–₹3,00,000",200000,5,"Escrow payment protection, Portfolio / Vault tracker","Verified seller ratings and reviews, Media coverage and social proof",Unlikely,2,0,Friends & Family,42,Self-driven / independent,"₹50,000–₹1,00,000",40,4,No,3.67,0.4,6,2,0,0
LL_0004,Professional Reseller,55+,Female,Tier 1 (Metro),Business Owner/Entrepreneur,"₹1,00,001–₹2,50,000",175000,Once a month,"Handbags & Purses, Apparel & Ready-to-Wear",Investment / asset appreciation,"True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Lack of transparent pricing",4,4,3,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry","Sports/dive watches (Rolex Sub, AP Royal Oak), Chronographs (Daytona, Speedmaster), Modern limited editions / collabs","Classic leather (smooth, grained), Gold hardware preference","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹1,00,001–₹3,00,000",200000,8,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA","Partnerships with luxury brands, Transparent pricing benchmarks",Neutral,3,0,Instagram / Reels,4,Peers / friends,"₹1,00,001–₹2,50,000",16,1,Yes,3.67,0.57,2,7,0,0
LL_0005,HNW Collector,45–54,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"Above ₹10,00,000",1500000,Once every 2–3 months,"Fine Jewelry & Accessories, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Status and social signaling, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,"No, not interested",Vestiaire Collective / Tradesy (international),Complicated or risky payment process,5,5,5,"Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Neutral tones (black, beige, tan), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Minimalist / logo-free aesthetic, Gold hardware preference","Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹1,50,001–₹5,00,000",325000,"₹10,00,001–₹30,00,000",2000000,9,"AI-powered authentication certificate, Trade-in or buy-back guarantee, Dedicated customer support SLA",Partnerships with luxury brands,Likely,4,1,Online article / blog,33,Self-driven / independent,"Above ₹10,00,000",23,2,No,5.0,0.22,2,3,0,0
LL_0006,Cautious Explorer,18–24,Male,Tier 2,Student,"₹1,00,001–₹2,50,000",175000,2–3 times a year,"Watches & Timepieces, Sneakers & Footwear","Status and social signaling, Gifting to others, Sustainability (pre-owned is eco-friendly)","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – bought only,Darveys / Luxepolis / Confidential Couture (India),"Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",3,3,3,"Structured handbags (Birkin, Classic Flap)","Sports/dive watches (Rolex Sub, AP Royal Oak), Chronographs (Daytona, Speedmaster), Modern limited editions / collabs","Neutral tones (black, beige, tan), Classic leather (smooth, grained), Monogram / logo-heavy designs, Gold hardware preference","Professional / office settings, Special events (weddings, parties)","₹50,001–₹1,50,000",100000,"₹25,000–₹1,00,000",62500,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Trade-in or buy-back guarantee, Dedicated customer support SLA",Physical authentication centers in India,Very Unlikely,1,0,Instagram / Reels,24,Self-driven / independent,"₹2,50,001–₹5,00,000",36,3,No,3.0,0.57,2,5,0,0
LL_0007,Professional Reseller,35–44,Male,Tier 3 / Small Town,Business Owner/Entrepreneur,"₹2,50,001–₹5,00,000",375000,Once a month,"Fine Jewelry & Accessories, Apparel & Ready-to-Wear","Status and social signaling, Investment / asset appreciation, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – both bought and sold,OLX / Quikr (classifieds),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery",5,3,2,"Structured handbags (Birkin, Classic Flap), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry",Vintage / classic pieces (pre-2000),Monogram / logo-heavy designs,Long-term investment / asset to hold,"₹50,001–₹1,50,000",100000,"₹25,000–₹1,00,000",62500,9,"AI-powered authentication certificate, Blockchain-backed ownership record","Media coverage and social proof, Transparent pricing benchmarks, Physical authentication centers in India",Neutral,3,0,Friends & Family,8,Peers / friends,"₹5,00,001–₹10,00,000",27,2,Yes,3.33,0.27,2,2,0,0
LL_0008,Professional Reseller,35–44,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"₹1,00,001–₹2,50,000",175000,2–3 times a year,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Investment / asset appreciation, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Have not used any platform,"Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery",3,4,2,"Structured handbags (Birkin, Classic Flap), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry","Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000)","Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference",Long-term investment / asset to hold,"₹5,00,001–₹15,00,000",1000000,"₹3,00,001–₹10,00,000",650000,7,"Escrow payment protection, Live auctions / social bidding, Trade-in or buy-back guarantee","Partnerships with luxury brands, Media coverage and social proof",Unlikely,2,0,Instagram / Reels,14,Social media influencers,"₹2,50,001–₹5,00,000",14,5,Yes,3.0,5.71,6,3,0,0
LL_0009,Aspirational Professional,25–34,Female,Tier 1 (Metro),Business Owner/Entrepreneur,"₹2,50,001–₹5,00,000",375000,2–3 times a year,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Status and social signaling, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,"No, but open to it",OLX / Quikr (classifieds),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",3,2,3,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Gold/diamond fine jewelry","Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster)","Neutral tones (black, beige, tan), Gold hardware preference, Silver hardware preference","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹1,50,001–₹5,00,000",325000,"₹1,00,001–₹3,00,000",200000,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Dedicated customer support SLA","Partnerships with luxury brands, Media coverage and social proof",Likely,4,1,Friends & Family,4,Peers / friends,"₹5,00,001–₹10,00,000",34,3,Yes,2.67,0.87,6,6,0,0
LL_0010,Gen Z / Hype Buyer,18–24,Female,Tier 2,Student,"₹50,000–₹1,00,000",75000,Once a month,"Sneakers & Footwear, Apparel & Ready-to-Wear","Status and social signaling, Sustainability (pre-owned is eco-friendly)","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Unreliable logistics and delivery",3,4,3,"Sneakers – Hype / Limited Edition (Yeezy, Off-White), Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Monogram / logo-heavy designs, Silver hardware preference","Daily / everyday use, Long-term investment / asset to hold","₹10,000–₹50,000",30000,"₹25,000–₹1,00,000",62500,10,"AI-powered authentication certificate, Escrow payment protection, Live auctions / social bidding","Partnerships with luxury brands, Transparent pricing benchmarks, Physical authentication centers in India",Likely,4,1,YouTube,3,Social media influencers,"₹1,00,001–₹2,50,000",6,4,No,3.33,0.4,2,3,0,0
